DB file ID,Turbo,Rating,Origin,Year,Decade,Mass,Model,Version,RefCount,Author,Class,vehFile,Type,Aero,Aids,F/R/4WD,originalFolder,Continent,Manufacturer,Category,Scene Description,GraphicDetailsFactor,URL,Gearshift,AIstrengthFactor,tType,Name,ID,Country,Flags,MinVersion,Track Name
ASR_OWC_1991_M191,0,,1,1991,1990-,580,Owc M191,2,1,ASR Formula,,M191_23.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_M191\2.0,,Asr,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_M191,,,270536704,,
ASR_OWC_1991_MP4-6,0,,1,1991,1990-,580,Owc Mp4-6,2,1,ASR Formula,,MP46_02.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1991_MP4-6\2.0,,McLaren,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1991_MP4-6,,,270536704,,
ASR_OWC_1993_MP4-8,0,,1,1993,1990-,580,Owc Mp4-8,1.5,1,ASR Formula,,SENNA93_08.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_1993_MP4-8\1.5,,McLaren,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_1993_MP4-8,,,3145728,,
ASR_OWC_2004_F2004,0,,1,2004,2000-,643,Owc F,1.53,1,ASR Formula,,F2004_01.VEH,2,1,,REAR,Installed\vehicles\ASR_OWC_2004_F2004\1.53,,Asr,6,,,www.asrformula.com,Paddles,,Open,ASR_OWC_2004_F2004,,,270536704,,
Bentley_Continental_GT3_2017,0,,0,2017,2010-,,Continental,2.53,1,Studio 397?,GT3,1SFH4F8ACF4E.VEH,2,1,,REAR,Installed\vehicles\Bentley_Continental_GT3_2017\2.53,,Bentley,0,,,,Paddles,,,Bentley_Continental_GT3_2017,AAA9999,,270569473,,
BMW_M8_GTE_2018,0,,0,2018,2010-,,M8,1.73,1,Studio 397?,GTE,BMW1CB2E1566.VEH,2,1,,REAR,Installed\vehicles\BMW_M8_GTE_2018\1.73,,BMW,0,,,,Paddles,,,BMW_M8_GTE_2018,AAA9999,,270569473,,
Brabham_1966,0,,0,1966,1960-,,Brabham,1.95,1,Studio 397?,,BT20_5.VEH,2,1,,REAR,Installed\vehicles\brabham_1966\1.95,,Brabham,0,,,,Paddles,,,Brabham_1966,AAA9999,,271593472,,
Brabham_BT44_1975,0,,0,1975,1970-,,Bt44,2.06,1,Studio 397?,,BT44_7.VEH,2,1,,REAR,Installed\vehicles\brabham_bt44_1975\2.06,,Brabham,0,,,,Paddles,,,Brabham_BT44_1975,AAA9999,,270536704,,
BTCC_NGTC_BMW_125i,1,,0,,,1325,125i,1.3,1,,BTCC,125I_10_14.VEH,2,0,,REAR,Installed\vehicles\BTCC_NGTC_BMW_125i\1.3,,BMW,10,,,,Paddles,,Touring,BTCC_NGTC_BMW_125i,,,3158016,,
BTCC_NGTC_Chevrolet_Cruze,1,,0,,,1326,Cruze,1.3,1,,BTCC,CRUZE44_13.VEH,2,0,,FRONT,Installed\vehicles\BTCC_NGTC_Chevrolet_Cruze\1.3,,Chevrolet,10,,,,Paddles,,Touring,BTCC_NGTC_Chevrolet_Cruze,,,3158016,,
